area_code,area_name,population
04212,登米市,76103
04213,栗原市,64686
04214,東松島市,39121
04215,大崎市,127381
04216,富谷市,51659
04301,蔵王町,11428
04302,七ヶ宿町,1262
04321,大河原町,23575
04322,村田町,10670
04323,柴田町,38264
04324,川崎町,8353
04341,丸森町,12268
04361,亘理町,33098
04362,山元町,12051
04401,松島町,13341
04404,七ヶ浜町,18136
04406,利府町,35189
04421,大和町,28786
04422,大郷町,7825
04424,大衡村,5849
04444,色麻町,6709
04445,加美町,21952
04501,涌谷町,15401
04505,美里町,24011
04581,女川町,6432
04606,南三陸町,12230
05000,秋田県,960113
05201,秋田市,307885
05202,能代市,50005
05203,横手市,85584
05204,大館市,69280
05206,男鹿市,25175
05207,湯沢市,42096
05209,鹿角市,29107
05210,由利本荘市,74763
05211,潟上市,31743
05212,大仙市,77715
05213,北秋田市,30217
05214,にかほ市,23455
05215,仙北市,24629
05303,小坂町,4780
05327,上小阿仁村,2069
05346,藤里町,2898
05348,三種町,15266
05349,八峰町,6582
05361,五城目町,8544
05363,八郎潟町,5582
05366,井川町,4570
05368,大潟村,3014
05434,美郷町,18625
05463,羽後町,13822
05464,東成瀬村,2707
06000,山形県,1068696
06201,山形市,247747
06202,米沢市,81326
06203,鶴岡市,122454
06204,酒田市,100320
06205,新庄市,34445
06206,寒河江市,40208
06207,上山市,29139
06208,村山市,22537
06209,長井市,26564
06210,天童市,62166
06211,東根市,47725
06212,尾花沢市,14984
06213,南陽市,30437
06301,山辺町,13732
06302,中山町,10751
06321,河北町,17649
06322,西川町,4965
06323,朝日町,6371
06324,大江町,7650
06341,大石田町,6581
06361,金山町,5074
06362,最上町,8097
06363,舟形町,5007
06364,真室川町,7205
06365,大蔵村,3030
06366,鮭川村,3904
06367,戸沢村,4203
06381,高畠町,22471
06382,川西町,14541
06401,小国町,7108
06402,白鷹町,12897
06403,飯豊町,6615
06426,三川町,7600
06428,庄内町,20160
06461,遊佐町,13033
07000,福島県,1834198
07201,福島市,282802
07202,会津若松市,117433
07203,郡山市,327872
07204,いわき市,333202
07205,白河市,59531
07207,須賀川市,75039
07208,喜多方市,44810
07209,相馬市,34884
07210,二本松市,53593
07211,田村市,35192
07212,南相馬市,59053
07213,伊達市,58250
07214,本宮市,30240
07301,桑折町,11464
07303,国見町,8641
07308,川俣町,12186
07322,大玉村,8904
07342,鏡石町,12316
07344,天栄村,5198
07362,下郷町,5267
07364,檜枝岐村,507
07367,只見町,4041
07368,南会津町,14453
07402,北塩原村,2554
07405,西会津町,5765
07407,磐梯町,3332
07408,猪苗代町,13559
07421,会津坂下町,15068
07422,湯川村,3082
07423,柳津町,3087
07444,三島町,1457
07445,金山町,1867
07446,昭和村,1247
07447,会津美里町,19030
07461,西郷村,20809
07464,泉崎村,6214
07465,中島村,4889
07466,矢吹町,17307
07481,棚倉町,13330
07482,矢祭町,5404
07483,塙町,8321
07484,鮫川村,3058
07501,石川町,14655
07502,玉川村,6403
07503,平田村,5830
07504,浅川町,6041
07505,古殿町,4826
07521,三春町,17026
07522,小野町,9482
07541,広野町,5408
07542,楢葉町,3700
07543,富岡町,2130
07544,川内村,2046
07545,大熊町,847
07546,双葉町,
07547,浪江町,1896
07548,葛尾村,421
07561,新地町,7910
07564,飯舘村,1319
08000,茨城県,2868554
08201,水戸市,270810
08202,日立市,174635
08203,土浦市,142160
08204,古河市,139396
08205,石岡市,73160
08207,結城市,50627
08208,龍ケ崎市,76455
08210,下妻市,42554
08211,常総市,60890
08212,常陸太田市,48630
08214,高萩市,27722
08215,北茨城市,41836
08216,笠間市,73241
08217,取手市,104545
08219,牛久市,84677
08220,つくば市,241785
08221,ひたちなか市,156664
08222,鹿嶋市,66965
08223,潮来市,27624
08224,守谷市,68426
08225,常陸大宮市,39294
08226,那珂市,53530
08227,筑西市,100819
08228,坂東市,52292
08229,稲敷市,39079
08230,かすみがうら市,40114
08231,桜川市,39159
08232,神栖市,95466
08233,行方市,32215
08234,鉾田市,45973
08235,つくばみらい市,49898
08236,小美玉市,48902
08302,茨城町,31417
08309,大洗町,15725
08310,城里町,18109
08341,東海村,37900
08364,大子町,15744
08442,美浦村,14611
08443,阿見町,48578
08447,河内町,8233
08521,八千代町,21034
08542,五霞町,8100
08546,境町,24208
08564,利根町,15352
09000,栃木県,1934016
09201,宇都宮市,519026
09202,足利市,144796
09203,栃木市,155628
09204,佐野市,116220
09205,鹿沼市,94074
09206,日光市,77651
09208,小山市,166791
09209,真岡市,78221
09210,大田原市,72123
09211,矢板市,31175
09213,那須塩原市,115282
09214,さくら市,44541
09215,那須烏山市,24886
09216,下野市,59479
09301,上三川町,30810
09342,益子町,21906
09343,茂木町,11899
09344,市貝町,11259
09345,芳賀町,14968
09361,壬生町,39509
09364,野木町,24906
09384,塩谷町,10366
09386,高根沢町,29253
