area_code,area_name,population,conv_store
02450,新郷村,2197,2
03000,岩手県,1211206,
03201,盛岡市,289893,133
03202,宮古市,50401,21
03203,大船渡市,34739,22
03205,花巻市,93234,44
03206,北上市,93089,52
03207,久慈市,33063,12
03208,遠野市,25381,10
03209,一関市,111970,59
03210,陸前高田市,18271,18
03211,釜石市,32096,13
03213,二戸市,25528,10
03214,八幡平市,24042,11
03215,奥州市,113027,48
03216,滝沢市,55600,25
03301,雫石町,15742,6
03302,葛巻町,5638,2
03303,岩手町,12294,4
03321,紫波町,32166,13
03322,矢巾町,28076,13
03366,西和賀町,5137,0
03381,金ケ崎町,15545,6
03402,平泉町,7258,5
03441,住田町,5050,3
03461,大槌町,11013,7
03482,山田町,14332,3
03483,岩泉町,8732,2
03484,田野畑村,3059,0
03485,普代村,2489,0
03501,軽米町,8423,4
03503,野田村,3938,1
03506,九戸村,5376,1
03507,洋野町,15098,2
03524,一戸町,11506,4
04000,宮城県,2303487,
04100,仙台市,1097196,
04101,仙台市青葉区,311757,184
04102,仙台市宮城野区,196813,99
04103,仙台市若林区,141531,67
04104,仙台市太白区,234875,86
04105,仙台市泉区,212220,76
04202,石巻市,140237,81
04203,塩竈市,52249,23
04205,気仙沼市,61171,36
04206,白石市,32734,16
04207,名取市,78757,37
04208,角田市,27996,14
04209,多賀城市,63276,29
04211,岩沼市,44091,22
04212,登米市,76103,41
04213,栗原市,64686,32
04214,東松島市,39121,20
04215,大崎市,127381,69
04216,富谷市,51659,18
04301,蔵王町,11428,6
04302,七ヶ宿町,1262,1
04321,大河原町,23575,14
04322,村田町,10670,7
04323,柴田町,38264,15
04324,川崎町,8353,6
04324,川崎町,8353,7
04341,丸森町,12268,5
04361,亘理町,33098,20
04362,山元町,12051,6
04401,松島町,13341,6
04404,七ヶ浜町,18136,4
04406,利府町,35189,15
04421,大和町,28786,16
04422,大郷町,7825,6
04424,大衡村,5849,5
04444,色麻町,6709,3
04445,加美町,21952,9
04501,涌谷町,15401,11
04505,美里町,24011,5
04505,美里町,24011,11
04505,美里町,24011,3
04581,女川町,6432,4
04606,南三陸町,12230,10
05000,秋田県,960113,
05201,秋田市,307885,148
05202,能代市,50005,24
05203,横手市,85584,42
05204,大館市,69280,30
05206,男鹿市,25175,9
05207,湯沢市,42096,18
05209,鹿角市,29107,14
05210,由利本荘市,74763,34
05211,潟上市,31743,11
05212,大仙市,77715,45
05213,北秋田市,30217,14
05214,にかほ市,23455,6
05215,仙北市,24629,13
05303,小坂町,4780,2
05327,上小阿仁村,2069,2
05346,藤里町,2898,0
05348,三種町,15266,5
05349,八峰町,6582,2
05361,五城目町,8544,4
05363,八郎潟町,5582,3
05366,井川町,4570,1
05368,大潟村,3014,1
05434,美郷町,18625,7
05434,美郷町,18625,1
05434,美郷町,18625,1
05463,羽後町,13822,3
05464,東成瀬村,2707,1
06000,山形県,1068696,
06201,山形市,247747,98
06202,米沢市,81326,36
06203,鶴岡市,122454,55
06204,酒田市,100320,38
06205,新庄市,34445,20
06206,寒河江市,40208,16
06207,上山市,29139,10
06208,村山市,22537,11
06209,長井市,26564,11
06210,天童市,62166,25
06211,東根市,47725,20
06212,尾花沢市,14984,10
06213,南陽市,30437,12
06301,山辺町,13732,2
06302,中山町,10751,4
06321,河北町,17649,6
06322,西川町,4965,2
06323,朝日町,6371,2
06323,朝日町,6371,7
06323,朝日町,6371,4
06324,大江町,7650,3
06341,大石田町,6581,1
06361,金山町,5074,2
06361,金山町,5074,0
06362,最上町,8097,5
06363,舟形町,5007,1
06364,真室川町,7205,1
06365,大蔵村,3030,0
06366,鮭川村,3904,1
06367,戸沢村,4203,2
06381,高畠町,22471,10
06382,川西町,14541,10
06382,川西町,14541,1
06401,小国町,7108,0
06401,小国町,7108,7
06402,白鷹町,12897,5
06403,飯豊町,6615,3
06426,三川町,7600,3
06428,庄内町,20160,5
06461,遊佐町,13033,3
07000,福島県,1834198,
07201,福島市,282802,130
07202,会津若松市,117433,55
07203,郡山市,327872,167
07204,いわき市,333202,160
07205,白河市,59531,30
07207,須賀川市,75039,36
07208,喜多方市,44810,16
07209,相馬市,34884,18
07210,二本松市,53593,22
07211,田村市,35192,17
07212,南相馬市,59053,36
07213,伊達市,58250,21
07213,伊達市,58250,18
07214,本宮市,30240,20
07301,桑折町,11464,4
07303,国見町,8641,4
07308,川俣町,12186,6
07322,大玉村,8904,4
07342,鏡石町,12316,8
07344,天栄村,5198,2
07362,下郷町,5267,3
07364,檜枝岐村,507,0
07367,只見町,4041,0
07368,南会津町,14453,7
07402,北塩原村,2554,2
07405,西会津町,5765,1
07407,磐梯町,3332,1
07408,猪苗代町,13559,4
07421,会津坂下町,15068,7
07422,湯川村,3082,2
07423,柳津町,3087,1
07444,三島町,1457,0
07445,金山町,1867,2
07445,金山町,1867,0
07446,昭和村,1247,2
07446,昭和村,1247,0
07447,会津美里町,19030,6
07461,西郷村,20809,8
07464,泉崎村,6214,5
07465,中島村,4889,1
07466,矢吹町,17307,10
07481,棚倉町,13330,8
07482,矢祭町,5404,2
07483,塙町,8321,3
07484,鮫川村,3058,0
07501,石川町,14655,7
07502,玉川村,6403,5
07503,平田村,5830,1
07504,浅川町,6041,3
07505,古殿町,4826,2
07521,三春町,17026,7
07522,小野町,9482,6
07541,広野町,5408,5
07542,楢葉町,3700,3
07543,富岡町,2130,6
07544,川内村,2046,2
07545,大熊町,847,2
07546,双葉町,,0
07547,浪江町,1896,6
07548,葛尾村,421,1
07561,新地町,7910,3
07564,飯舘村,1319,1
08000,茨城県,2868554,
08201,水戸市,270810,140
08202,日立市,174635,73
08203,土浦市,142160,64
08204,古河市,139396,65
08205,石岡市,73160,36
08207,結城市,50627,22
08208,龍ケ崎市,76455,27
08210,下妻市,42554,21
08211,常総市,60890,33
08212,常陸太田市,48630,20
08214,高萩市,27722,12
08215,北茨城市,41836,22
08216,笠間市,73241,33
08217,取手市,104545,33
08219,牛久市,84677,26
08220,つくば市,241785,120
08221,ひたちなか市,156664,78
08222,鹿嶋市,66965,40
08223,潮来市,27624,11
08224,守谷市,68426,25
08225,常陸大宮市,39294,20
08226,那珂市,53530,27
08227,筑西市,100819,53
08228,坂東市,52292,29
08229,稲敷市,39079,18
08230,かすみがうら市,40114,16
08231,桜川市,39159,22
08232,神栖市,95466,67
08233,行方市,32215,15
08234,鉾田市,45973,25
